cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3517802;Guaraçaí;569,197;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3517901;Guaraci;641,501;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35051;Norte - Barretos
3518008;Guarani d'Oeste;85,7;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3518107;Guarantã;461,746;8;RA Bauru;9;Demais municípios;5;DRS Marília;35093;Marília
3518206;Guararapes;955,637;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3518305;Guararema;270,816;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3518404;Guaratinguetá;752,636;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3518503;Guareí;567,884;5;RA Sorocaba;9;Demais municípios;6;DRS Sorocaba;35161;Itapetininga
3518602;Guariba;270,289;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3518701;Guarujá;144,794;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3518800;Guarulhos;318,675;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3518859;Guatapará;413,567;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3518909;Guzolândia;252,477;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3519006;Herculândia;364,252;12;RA Marília;9;Demais municípios;5;DRS Marília;35095;Tupã
3519055;Holambra;65,577;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3519071;Hortolândia;62,416;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3519105;Iacanga;547,393;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3519204;Iacri;321,948;12;RA Marília;9;Demais municípios;5;DRS Marília;35095;Tupã
3519253;Iaras;401,381;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3519303;Ibaté;290,977;13;RA Central;9;Demais municípios;8;DRS Araraquara;35034;Coração do DRS III
3519402;Ibirá;271,912;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3519501;Ibirarema;228,23;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3519600;Ibitinga;689,391;13;RA Central;9;Demais municípios;8;DRS Araraquara;35032;Centro Oeste do DRS III
3519709;Ibiúna;1058,082;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3519808;Icém;362,355;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3519907;Iepê;594,974;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35113;Alto Capivari
3520004;Igaraçu do Tietê;97,747;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35064;Jaú
3520103;Igarapava;468,355;15;RA Franca;9;Demais municípios;4;DRS Franca;35083;Alta Mogiana
3520202;Igaratá;292,953;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3520301;Iguape;1978,795;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3520400;Ilhabela;346,389;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35173;Litoral Norte
3520426;Ilha Comprida;196,567;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3520442;Ilha Solteira;652,641;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3520509;Indaiatuba;311,545;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3520608;Indiana;129,367;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3520707;Indiaporã;279,606;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3520806;Inúbia Paulista;87,119;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3520905;Ipaussu;209,554;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3521002;Iperó;170,289;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3521101;Ipeúna;190,01;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35104;Rio Claro
3521150;Ipiguá;136,028;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3521200;Iporanga;1152,059;16;RA Itapeva;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3521309;Ipuã;466,461;15;RA Franca;9;Demais municípios;4;DRS Franca;35082;Alta Anhanguera
3521408;Iracemápolis;115,118;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35102;Limeira
3521507;Irapuã;257,612;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35151;Catanduva
3521606;Irapuru;214,461;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3521705;Itaberá;1100,247;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3521804;Itaí;1092,884;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3521903;Itajobi;502,066;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3522000;Itaju;230,355;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35064;Jaú
3522109;Itanhaém;601,711;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3522158;Itaoca;183,015;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3522208;Itapecerica da Serra;150,742;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3522307;Itapetininga;1789,35;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3522406;Itapeva;1826,258;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3522505;Itapevi;82,658;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35014;Rota dos Bandeirantes
3522604;Itapira;518,416;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35141;Baixa Mogiana
3522653;Itapirapuã Paulista;406,478;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3522703;Itápolis;996,747;13;RA Central;9;Demais municípios;8;DRS Araraquara;35032;Centro Oeste do DRS III
3522802;Itaporanga;507,997;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3522901;Itapuí;140,023;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35064;Jaú
3523008;Itapura;301,653;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3523107;Itaquaquecetuba;82,622;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3523206;Itararé;1003,86;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3523305;Itariri;273,667;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3523404;Itatiba;322,269;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3523503;Itatinga;979,817;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3523602;Itirapina;564,603;6;RA Campinas;9;Demais municípios;11;DRS Piracicaba;35104;Rio Claro
3523701;Itirapuã;161,118;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3523800;Itobi;138,986;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35143;Rio Pardo
3523909;Itu;640,719;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3524006;Itupeva;200,876;6;RA Campinas;9;RM Jundiaí;3;DRS Campinas;35073;Jundiaí
3524105;Ituverava;704,659;15;RA Franca;9;Demais municípios;4;DRS Franca;35083;Alta Mogiana
3524204;Jaborandi;273,438;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35051;Norte - Barretos
3524303;Jaboticabal;706,602;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3524402;Jacareí;464,272;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3524501;Jaci;145,133;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3524600;Jacupiranga;704,136;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3524709;Jaguariúna;141,391;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3524808;Jales;368,574;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3524907;Jambeiro;184,413;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3525003;Jandira;17,449;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35014;Rota dos Bandeirantes
3525102;Jardinópolis;501,87;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3525201;Jarinu;207,549;6;RA Campinas;9;RM Jundiaí;3;DRS Campinas;35073;Jundiaí
3525300;Jaú;687,103;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35064;Jaú
3525409;Jeriquara;141,971;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3525508;Joanópolis;374,293;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3525607;João Ramalho;415,452;12;RA Marília;9;Demais municípios;2;DRS Presidente Prudente;35113;Alto Capivari
3525706;José Bonifácio;860,2;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3525805;Júlio Mesquita;128,183;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
